#group,false,false,false,false
#datatype,string,long,double,dateTime:RFC3339
#default,_result,,,
,result,table,MeanAggregate,time
,,0,0,2020-07-14T03:26:31Z
,,0,0,2020-07-14T03:26:32Z
,,0,0,2020-07-14T03:26:35Z
,,0,0,2020-07-14T03:29:33Z
,,0,29.38586956521739,2020-07-14T04:59:41Z
,,0,0,2020-07-14T05:04:24Z
,,0,7.306756756756757,2020-07-14T05:04:25Z
,,0,3.633736559139785,2020-07-14T05:04:26Z
,,0,3.6143048128342246,2020-07-14T05:04:27Z
,,0,3.5950797872340425,2020-07-14T05:04:28Z
,,0,2.013780260707635,2020-07-14T10:14:01Z
,,0,9.1166908290378,2020-07-14T11:43:56Z
,,0,0,2020-07-14T11:47:43Z
,,0,0,2020-07-14T11:47:44Z
,,0,0,2020-07-14T11:47:45Z
,,0,0,2020-07-14T11:47:46Z
,,0,0,2020-07-14T11:47:47Z
,,0,1.5051560758082496,2020-07-14T11:47:48Z
,,0,2.022162706401263,2020-07-14T11:47:49Z
,,0,2.019892437805675,2020-07-14T11:47:50Z
