time,open,high,low,close,volume,sma,bolup,boldn
2021-07-13T17:00:00Z,0.19986,0.20009,0.19983,0.20004,286630.4,0.1999668,0.2002845,0.1996492
2021-07-13T17:00:30Z,0.20007,0.20007,0.19987,0.19987,159971.9,0.1999771,0.2002826,0.1996717
2021-07-13T17:01:00Z,0.20007,0.20007,0.19981,0.19982,275794.6,0.1999793,0.2002794,0.1996792
2021-07-13T17:01:30Z,0.19982,0.19993,0.19982,0.19989,69022.6,0.1999803,0.2002763,0.1996842
2021-07-13T17:02:00Z,0.19982,0.19993,0.19982,0.19983,99248,0.1999779,0.2002784,0.1996775
2021-07-13T17:02:30Z,0.19983,0.19983,0.19978,0.19979,172760.1,0.1999729,0.2002815,0.1996642
2021-07-13T17:03:00Z,0.19983,0.19983,0.19973,0.19974,279206.1,0.1999568,0.2002748,0.1996389
2021-07-13T17:03:30Z,0.19976,0.19979,0.19971,0.19971,26255.9,0.1999368,0.2002544,0.1996192
2021-07-13T17:04:00Z,0.19976,0.19979,0.19968,0.19968,125773.9,0.1999116,0.2002202,0.1996029
2021-07-13T17:04:30Z,0.19968,0.19968,0.19952,0.19959,110251.6,0.1998719,0.2001495,0.1995943
2021-07-13T17:05:00Z,0.19968,0.19976,0.19947,0.19957,225901.8,0.1998427,0.2000994,0.1995861
2021-07-13T17:05:30Z,0.19957,0.1997,0.19945,0.19949,320306.5,0.1998151,0.2000896,0.1995405
2021-07-13T17:06:00Z,0.19957,0.1997,0.19942,0.19962,421549.7,0.1997898,0.2000787,0.1995009
2021-07-13T17:06:30Z,0.19955,0.19962,0.19944,0.19962,77031.9,0.1997730,0.2000880,0.1994580
2021-07-13T17:07:00Z,0.19955,0.19962,0.19944,0.1996,95941.5,0.1997626,0.2000838,0.1994415
2021-07-13T17:07:30Z,0.19957,0.19961,0.19953,0.19961,98404.5,0.1997448,0.2000670,0.1994227
2021-07-13T17:08:00Z,0.19957,0.19963,0.19953,0.19963,237894.4,0.1997319,0.2000511,0.1994128
2021-07-13T17:08:30Z,0.19973,0.19979,0.19962,0.1997,152132.2,0.1997250,0.2000404,0.1994096
2021-07-13T17:09:00Z,0.19973,0.19983,0.19962,0.1998,250581.6,0.1997203,0.2000292,0.1994114
2021-07-13T17:09:30Z,0.19979,0.1999,0.19979,0.19984,78395.6,0.1997147,0.2000088,0.1994206
2021-07-13T17:10:00Z,0.19979,0.19996,0.19979,0.19996,168161.1,0.1997063,0.1999738,0.1994388
2021-07-13T17:10:30Z,0.20001,0.20002,0.19991,0.19999,129141.2,0.1997132,0.1999936,0.1994327
2021-07-13T17:11:00Z,0.20001,0.20005,0.19991,0.20002,459881.5,0.1997212,0.2000233,0.1994191
2021-07-13T17:11:30Z,0.20001,0.20007,0.19998,0.20007,99261,0.1997319,0.2000614,0.1994024
2021-07-13T17:12:00Z,0.20001,0.20009,0.19984,0.19984,229506.7,0.1997411,0.2000912,0.1993911
2021-07-13T17:12:30Z,0.19995,0.20008,0.1999,0.20002,117155.9,0.1997500,0.2001144,0.1993856
2021-07-13T17:13:00Z,0.19995,0.20008,0.19974,0.1998,265171,0.1997580,0.2001313,0.1993848
2021-07-13T17:13:30Z,0.19976,0.19978,0.19967,0.19967,57589.8,0.1997568,0.2001300,0.1993835
2021-07-13T17:14:00Z,0.19976,0.19982,0.19966,0.19982,133490.2,0.1997584,0.2001310,0.1993857
2021-07-13T17:14:30Z,0.19982,0.19993,0.19982,0.19993,57951.8,0.1997727,0.2001375,0.1994078
2021-07-13T17:15:00Z,0.19982,0.19999,0.19982,0.19987,156754,0.1997854,0.2001459,0.1994249
2021-07-13T17:15:30Z,0.19992,0.19996,0.19962,0.19962,473505.7,0.1997973,0.2001418,0.1994529
2021-07-13T17:16:00Z,0.19992,0.19996,0.19961,0.19964,540970,0.1998029,0.2001314,0.1994744
